# this is a standard expression file, modified slightly from the McClean Lab isoforms.fpkm_tracking file from Phytozome
#
# 1. source name, PMID, geo, bioProject, sra
McClean Lab Phaseolus vulgaris Expression Data				
# 2. url
https://www.ag.ndsu.edu/plantsciences/people/faculty/mcclean
# 3. description
This is an unpublished expression atlas from the McClean lab at North Dakota State.
# 4. expression unit
FPKM
# 5. number of samples
11
# 6. Sample name and description in same order as the columns (adjusted from buggy version on site)
1	FB	Flower buds
2	YP	Young pods
3	YT	Young trifoliates
4	FL	Flowers
5	S10	Stem 10
6	N	Nodules
7	R19	Root 19
8	S19	Stem 19
9	GMP	Green mature pods
10	L	Leaves
11	R10	Root 10
# 7. expression data
#gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.010G162500	8.86946	4.47809	4.49704	5.18207	5.22856	4.38531	2.86188	6.12827	2.87859	5.30744	3.72373
Phvul.010G007100	26.5516	26.6369	25.2561	21.5555	26.7761	28.6027	23.0274	28.6717	18.2477	33.8496	26.4652
Phvul.010G018100	0	0	0	0.110948	0	0	0	0	0	0	0
Phvul.010G151200	28.6331	37.9917	38.7188	16.4912	38.3848	38.3633	38.94	41.0724	42.8707	43.7491	46.6616
Phvul.010G028500	1.55769E-05	0	0	0.09959	0	0.236409	0.838537	0.0514076	2.81414E-07	0	0.366415
Phvul.010G028500	0.0682154	0.0314434	0.0210547	0.000344182	0.0295501	0	0.000228415	0	0.0178587	0	0.661362
Phvul.010G028500	0	0	0.000423682	0	9.04246E-05	0.183642	0.397738	0	5.15731E-05	0.169341	0.303982
Phvul.010G013700	0	0.0232169	0	0	0.00870836	0	0.0143215	0.133169	0	0	0
Phvul.010G008600	2.84834	7.52358	12.0166	12.8369	6.86588	0.256762	0.67271	3.57112	11.8027	28.1374	1.8421
Phvul.010G053500	0	0	0.0367811	0	0	0	0	0	0	0	0
Phvul.010G143200	11.1674	10.0873	34.2855	15.5256	10.4725	1.31922	1.69752	8.81778	13.7662	99.1001	2.39905
Phvul.010G036800	2.8018	8.43489	16.0282	1.43438	21.1393	0.0220999	0.45123	27.7896	0.0771193	17.9502	0.239469
Phvul.010G005200	217.622	43.1745	17.9175	248.586	83.5953	8.55583	30.0111	90.0857	19.2217	23.9392	85.5874
Phvul.010G002300	0	5.82759	0	0	0	0	0	0	0	0	0
Phvul.010G002900	7.57629	10.8783	7.79861	13.7448	3.83321	3.02726	2.40897	5.6344	9.5041	10.4449	1.44638
Phvul.010G031200	11.3249	9.74104	5.11665	9.19253	6.08787	9.20547	7.62306	7.73347	7.56662	7.08009	7.78542
Phvul.010G122500	1.23673	1.05806	0.620401	7.15635	0	0.27502	0.392638	0.147462	0	0	0.680966
Phvul.010G165400	21.5035	19.2826	19.2073	23.2949	23.2573	33.7994	28.4572	27.2224	31.1727	23.0415	34.3554
Phvul.010G024200	0.000477595	0.0742995	0.000423766	0.0131674	0.434176	0.694776	1.35364	0.623214	0.371615	0.0461579	0.541397
Phvul.010G081200	0	0	0	0	0.920578	0.407941	0	0	0	0.86261	0
Phvul.010G014700	0	0.331746	0.325992	0.0496957	0.371416	0.610835	0.391731	0.329444	0.423411	0.798731	0.324672
Phvul.010G053900	100.339	97.1398	58.5548	64.946	72.6847	74.9781	68.4902	84.546	189.248	43.5394	73.6785
Phvul.010G130800	6.43967	11.514	16.2045	6.80263	17.3365	19.4456	19.7059	15.1666	20.9048	18.3212	18.8645
Phvul.010G046500	0.970071	1.09665	0.772948	1.38189	13.1616	0.482156	2.45343	16.9938	2.89379	0.580488	0.233504
Phvul.010G023600	9.07608	7.40908	12.4322	6.40554	11.5437	15.2691	7.61916	7.84469	10.3381	32.0327	15.6733
Phvul.010G056600	9.4236	9.55336	8.18697	7.49623	6.35727	9.35529	6.0379	6.05686	4.44952	4.85546	7.46345
Phvul.010G097500	3.52742	4.08305	5.55888	2.44504	3.38062	2.91713	2.63596	2.13133	2.95024	6.63048	3.23159
Phvul.010G111700	2.28106	1.01584	12.8577	3.89867	8.29956	0.453337	0.854348	11.4419	0.175115	7.34224	0.927273
Phvul.010G008000	18.8774	12.1264	14.2662	21.9932	13.7199	12.3516	11.1258	15.8533	25.292	11.5905	13.3512
Phvul.010G017500	0	0	0	0.162533	0	0	0	0	0	0	0
Phvul.010G009200	4.79107	4.7418	0.556639	18.8286	0.884584	8.27087	7.73841	1.587	5.28548	0.242661	6.83201
Phvul.010G015000	19.8027	10.3368	9.94914	17.0548	13.944	10.5016	11.2499	16.4885	12.3773	11.6588	11.9413
Phvul.010G030300	0	0.0250482	0	0	0	0	0	0	0	0	0
Phvul.010G105300	6.84841	0.0599353	0.514488	1.42826	0.0655135	0.0551516	0	0.000576045	0.450983	0	0.384906
Phvul.010G105300	3.53351	0.451872	0	0.704337	0.0652967	0.169799	0.33658	0.0517714	0.472205	0.340744	0.615857
Phvul.010G007200	4.028	5.18082	11.1662	2.77021	3.38529	3.28625	2.57936	3.90873	7.97291	15.91	3.21122
Phvul.010G083100	1.69168	1.2645	1.91419	0.720456	0.657303	2.77161	1.20279	1.42838	2.31311	1.76412	0.898699
Phvul.010G083100	1.01288	0.740531	0.831976	0.854086	1.68794	1.07985	3.28393	0.735718	2.78008	2.90656	2.04597
Phvul.010G006900	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G083400	2.47684	1.05096	3.38961	5.02598	2.25781	7.51164	2.97754	8.95766	1.14085	1.94314	1.07721
Phvul.010G114600	1.68043	4.93489	8.67209	1.55906	2.84288	5.59891	3.76634	1.89844	8.84879	7.94204	3.02103
Phvul.010G128000	0.213705	0.0980231	0.416008	0.0340702	0	0	0.0391294	0.261572	0	0	0.178104
Phvul.010G131800	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G007700	0.327328	0.295324	0.480184	0.212358	3.09867	0.87883	5.48561	11.4091	1.89544	0.213652	2.02451
Phvul.010G106400	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G147400	0.186393	0	0.127685	0	0	0.0797605	0.114521	0	0.162147	0	0.253062
Phvul.010G107500	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G116500	2.59588	6.246	6.91135	1.75262	8.34961	3.70135	5.07129	12.8413	1.04491	4.92249	2.58229
Phvul.010G154300	0	1.33697	0	9.58238	0	0.0932993	0.130663	0	0.067803	0	0
Phvul.010G051600	3.61185	0.771509	0.816211	0.453044	4.33735	1.21684	3.22311	2.519	0	4.32958	5.05398
Phvul.010G052600	0	0.149606	0	0	0	0.791648	0.357162	0.167387	0.0884326	0	0.583386
Phvul.010G117600	13.5445	7.21085	6.41126	17.1255	10.4819	7.91245	13.4591	11.9563	11.1147	5.29793	14.6566
Phvul.010G022100	0.320059	0.257275	0.071426	0.216958	0	0.0440949	0	0	0.0596381	0.276403	0
Phvul.010G038700	0	0.0729693	0.100579	0.0781514	0	0.0613721	0.178215	0.169027	0.0845355	0.265352	0.70413
Phvul.010G024000	0.000611064	0.000125791	0.00128464	0	0.034094	0.0457494	0.0444731	0	1.92345E-05	0.0329652	0
Phvul.010G115100	9.17451	6.6207	7.26652	7.12652	17.6921	3.52539	5.89363	21.6889	6.04951	6.07706	7.96002
Phvul.010G045100	0	0	0.0382065	0.0965655	0	0.629835	0.917424	0	0.0639627	0	0.736415
Phvul.010G155600	0	0	0	0	0	0	0	0	27.3937	0	0
Phvul.010G133600	12.0643	7.67338	3.33783	6.14209	14.6134	2.70047	3.53149	9.25953	6.49054	6.2417	10.3516
Phvul.010G133600	17.6045	14.4347	6.0547	12.1808	20.2177	3.81629	7.51572	14.8761	9.98375	11.0463	24.6563
Phvul.010G066100	0.453167	0.643622	0	0	0	0	0	0	0.0291725	0	0
Phvul.010G066100	3.03886E-05	0.116776	0	0.414794	0	0	0	0.0503454	2.68049E-06	0	0
Phvul.010G066100	2.79203	0.116144	0	1.23931	0	0	0	0	0	0	0
Phvul.010G010600	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G038600	6.82169	5.87392	3.23595	14.8557	4.41487	4.47949	4.84976	5.71902	9.51346	3.46477	4.04133
Phvul.010G079000	0.245812	0	0	0	0	0	0.0278791	0	0	0	0
Phvul.010G079000	1.24179	2.42253	2.90868	1.14459	1.80325	0	0.0380836	1.56908	0.0646296	3.48832	0
Phvul.010G079000	0	0.140639	0.534469	0	0	0	3.1198E-06	0.993667	0.0596985	0	0
Phvul.010G100900	0.173717	0.715609	0.460892	0.207736	0.399804	0.14815	0.113333	0.537499	2.77818	0.223348	0.0736622
Phvul.010G145000	0.358468	0.601586	1.13982	0.242839	0.334048	0.0210176	0	0.308916	0	0.601513	0.128624
Phvul.010G110200	58.0707	25.7679	22.3595	51.4957	19.8036	25.25	23.9302	15.1658	25.8167	23.9628	38.307
Phvul.010G023700	13.3899	18.0414	24.0201	48.1347	35.8325	10.8192	10.6375	16.8888	86.1689	118.379	20.5487
Phvul.010G092900	0	0	5.32915	0	0	0	0	0	0	0	0
Phvul.010G024500	47.9754	86.0162	22.6391	34.5761	22.2871	30.232	25.9759	26.5115	24.3209	15.6481	23.8992
Phvul.010G137100	0	0.160939	0.331855	0.784336	0.225972	0.231936	0.14531	0.0909538	0.115388	0.144808	0.0528519
Phvul.010G145600	22.3857	10.1401	14.4438	11.4061	21.8483	65.5271	113.095	13.9331	50.2493	25.4301	102.274
Phvul.010G032300	0.358893	0.494277	0.698334	0.122799	0.944626	0.52985	1.64127	1.40516	0.237548	1.3547	2.31738
Phvul.010G108000	0.377871	0.383873	0	0	0	0.772198	0.237641	0	0	0	0
Phvul.010G126800	1.62255	0.921722	1.15852	0.918461	1.24936	1.47435	0.544496	0.483591	1.15808	0.723922	0.288823
Phvul.010G126800	6.9848	4.35716	2.84085	4.16575	1.6794	4.02088	3.04408	2.52309	3.33962	2.85514	3.12284
Phvul.010G032100	104.655	95.7347	30.7982	73.0676	68.2034	61.92	58.3451	69.4451	37.8207	39.6885	86.0734
Phvul.010G078400	0	0	0	0	0.213367	2.07606	5.73809	0	0	0	5.81547
Phvul.010G071700	17.2562	16.4687	10.9529	22.0122	15.419	13.6941	13.4685	14.5832	25.3724	8.71574	17.8769
Phvul.010G032200	5.97888	7.17603	5.29458	4.03721	6.70767	6.06605	4.51195	5.35703	8.81075	7.03719	4.51105
Phvul.010G032200	26.4595	17.3253	26.8278	8.66131	18.9685	39.9542	21.7315	24.0843	38.9798	28.3463	23.9626
Phvul.010G091000	27.2452	37.1868	11.9745	110.337	12.0491	7.0238	8.56792	14.7954	19.7642	14.4332	21.0984
Phvul.010G001300	4.13352	0.226484	3.18421	1.04354	0.164449	0.247163	0.499204	1.73886	0.490695	0.163693	4.30628
Phvul.010G053800	0	0	0	0.136735	0	0.121786	0	0	0.0743271	0	0.337746
Phvul.010G077000	0.313839	4.99072	0.139763	0.264386	3.45226	36.6933	72.6804	0.11656	0.00401147	0.0665908	227.189
Phvul.010G010200	15.571	34.1872	33.3863	7.35322	9.12439	39.3581	7.16521	11.4957	4.67119	16.5426	1.55771
Phvul.010G093800	74.0732	17.6609	15.0526	61.563	15.8828	14.2289	21.4208	20.3863	15.2202	15.2254	25.7804
Phvul.010G149700	6.42174	13.4049	15.8249	3.1941	8.72471	9.60496	12.1126	13.1404	2.08301	7.4699	14.5756
Phvul.010G134200	0.116866	0.124143	0.172654	0.0561877	0.137671	0.20292	0.214653	0.0409865	0.492432	0.0322181	0.418445
