gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G243700	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.153E+00	3.537E+00	0.000E+00	0.000E+00	0.000E+00	5.255E+00
Phvul.008G243800	7.756E+00	9.370E+00	1.108E+01	6.123E+00	7.175E+00	1.038E+01	8.842E+00	6.810E+00	8.200E+00	1.575E+01	7.755E+00
Phvul.008G243900	5.817E-01	9.071E-01	1.921E-01	4.441E-01	2.003E-01	5.996E-02	8.959E-02	1.201E-01	3.979E-02	6.267E-02	0.000E+00
Phvul.008G244000	1.613E+01	2.173E+01	4.324E+00	5.068E+01	2.883E+01	7.989E+00	1.661E+01	1.913E+01	5.518E+01	1.277E+01	1.524E+01
Phvul.008G244100	1.820E+02	8.298E+01	5.848E+01	1.225E+02	1.083E+02	9.434E+01	8.461E+01	1.031E+02	5.878E+01	9.265E+01	1.005E+02
Phvul.008G244200	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.442E+00	6.168E+00	6.179E-02	0.000E+00	0.000E+00	4.649E+01
Phvul.008G244300	6.732E-01	4.528E+00	3.102E+00	1.827E+00	1.472E+00	1.773E+00	2.319E+00	1.770E+00	1.694E-01	1.608E+00	2.094E+00
Phvul.008G244400	0.000E+00	1.307E-02	1.601E-02	1.373E-02	0.000E+00	1.007E+00	1.519E+00	1.472E-02	7.426E-03	0.000E+00	1.941E+00
Phvul.008G244500	2.834E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.800E-02
Phvul.008G244600	0.000E+00	0.000E+00	0.000E+00	2.080E-03	0.000E+00	2.435E-02	1.169E-03	0.000E+00	0.000E+00	0.000E+00	1.872E-03
Phvul.008G244700	4.642E-02	1.052E-01	3.777E-01	0.000E+00	3.674E-01	1.490E-01	3.269E-01	1.461E-01	0.000E+00	9.611E-01	2.324E-01
Phvul.008G244800	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	4.649E-03	7.032E-03	0.000E+00	1.209E-02	0.000E+00	3.277E-02
Phvul.008G244900	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.433E-02	2.791E-03	4.420E-02	0.000E+00
Phvul.008G245000	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	8.106E-05	8.162E-05	0.000E+00	0.000E+00	0.000E+00	1.978E-05
Phvul.008G245100	2.591E-02	1.140E-02	4.799E-02	0.000E+00	4.359E-02	9.356E-03	1.410E-02	1.322E-02	0.000E+00	2.468E-01	8.612E-02
Phvul.008G245200	0.000E+00	1.067E-02	4.415E-02	1.114E-02	6.124E-02	8.636E-03	1.041E-01	1.234E-02	1.607E-02	5.718E-02	1.518E-02
Phvul.008G245300	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G245400	5.064E-02	0.000E+00	9.689E-02	0.000E+00	1.751E-01	1.869E-02	2.216E-01	2.622E-02	0.000E+00	8.438E-02	3.183E-01
Phvul.008G245500	2.348E-01	1.661E+00	4.671E+00	3.183E-01	1.879E+00	3.046E+00	2.181E+00	1.425E+00	5.090E+00	5.731E+00	2.195E+00
Phvul.008G245600	0.000E+00	2.315E-01	2.670E-01	4.532E-01	1.314E-01	5.729E+00	3.355E+00	3.083E-01	3.739E-01	7.386E-02	4.034E+00
Phvul.008G245700	3.656E+01	1.860E+01	1.157E+01	1.343E+01	3.642E+01	4.856E-01	2.920E-01	4.083E+01	1.976E+01	2.562E+01	7.789E-01
Phvul.008G245800	2.024E+01	2.288E+01	2.045E+01	1.578E+01	2.910E+01	2.359E+01	2.327E+01	2.964E+01	2.407E+01	1.713E+01	2.712E+01
Phvul.008G245900	8.315E+00	1.792E+01	2.713E+01	3.491E+00	2.407E+01	2.081E+01	1.980E+01	2.236E+01	3.370E+00	1.700E+01	2.368E+01
Phvul.008G246000	1.023E+01	1.698E+01	3.487E+00	1.548E+01	2.669E+01	1.636E+01	2.223E+01	1.212E+01	7.390E+01	4.229E+00	1.488E+01
Phvul.008G246100	1.033E+02	8.666E+01	4.193E+01	8.442E+01	6.131E+01	7.703E+01	6.050E+01	7.378E+01	6.084E+01	6.315E+01	6.732E+01
Phvul.008G246200	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.088E-01	0.000E+00	0.000E+00	0.000E+00	1.294E-01	0.000E+00	0.000E+00
Phvul.008G246300	6.096E+00	1.100E+01	1.276E+01	5.054E+00	7.699E+00	7.509E+00	7.437E+00	8.665E+00	1.409E+01	5.613E+00	1.283E+01
Phvul.008G246400	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G246500	0.000E+00	0.000E+00	3.063E-02	1.143E-02	0.000E+00	2.707E-02	5.442E-02	0.000E+00	0.000E+00	1.577E-01	1.593E-02
Phvul.008G246600	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G246700	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G246800	0.000E+00	0.000E+00	0.000E+00	1.473E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G246900	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G247000	0.000E+00	9.883E-03	1.363E-02	0.000E+00	9.374E-02	3.220E-02	4.832E-02	5.728E-02	0.000E+00	1.434E-01	1.413E-01
Phvul.008G247100	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G247200	0.000E+00	0.000E+00	4.823E-02	9.096E-03	3.340E-02	1.402E-02	7.389E-02	9.950E-03	0.000E+00	4.806E-02	5.998E-02
Phvul.008G247300	0.000E+00	0.000E+00	1.786E-02	1.320E-02	2.429E-02	1.053E-02	1.580E-02	0.000E+00	0.000E+00	2.293E-02	5.626E-02
Phvul.008G247400	7.106E+01	7.585E+01	2.045E+02	9.139E+01	1.697E+02	6.994E+01	1.646E+02	2.709E+02	4.807E+01	7.891E+01	2.822E+02
Phvul.008G247500	0.000E+00	5.420E-02	0.000E+00	0.000E+00	5.077E-02	1.390E-01	0.000E+00	4.565E-02	7.842E-02	0.000E+00	0.000E+00
