# This file contains all markers associated with the QTLs courtesy Sassoum Lo, UC-Riverside
TaxonID	3920
1_1428	CFcol7
2_04830	CFcol7
2_06796	CFcol7
2_09847	CFcol7
2_12758	CFcol7
2_28402	CFcol7
2_29599	CFcol7
2_29600	CFcol7
2_29807	CFcol7
2_20010	CFcol7
2_03253	CFcol7
2_03254	CFcol7
2_03283	CFcol7
2_04168	CFcol7
2_10308	CFcol7
2_10641	CFcol7
2_20011	CFcol7
2_26543	CFcol7
2_40405	CFcol7
2_43820	CFcol7
2_47778	CFcol7
2_04829	CFcol7
2_04852	CFcol7
2_06795	CFcol7
2_23916	CFcol7
2_55327	CFcol7
2_10176	CFcol7
2_12759	CFcol7
2_28440	CFcol7
2_43510	CFcol7
2_51368	CFcol7
2_07070	CFcol7
2_02461	CFcol7
2_03004	CFcol7
2_02857	CFcol7
2_03005	CFcol7
2_53946	CFcol7
2_54231	CFcol7
2_31777	CFcol7
2_34082	CFcol7
2_25534	CFcol7
2_04478	CFcol7
2_50107	CFcol7
2_51688	CFcol7
2_02183	CFcol7
2_15629	CFcol7
2_23000	CFcol7
2_47800	CFcol7
1_0041	CFcol7
2_13453	CFcol7
2_25068	CFcol7
2_29396	CFcol7
2_29430	CFcol7
2_34565	CFcol7
2_35796	CFcol7
2_43233	CFcol7
2_47424	CFcol7
2_02301	CFcol7
2_15628	CFcol7
2_19746	CFcol7
2_02059	CFcol7
2_13361	CFcol7
2_32517	CFcol7
2_41121	CFcol7
2_13454	CFcol7
2_09339	CFcol7
2_32899	CFcol7
2_17054	CFt5
1_0449	CFt5
2_08464	CFt5
2_27319	CFt5
2_27318	CFt5
2_06642	CFt5
1_1275	CFt5
2_07033	CFt5
2_07034	CFt5
2_17899	CFt5
2_36252	CFt5
2_46616	CFt5
2_01623	CFt5
2_21128	CFt5
2_17163	CFt5
2_12641	CFt5
2_12640	CFt5
2_18244	CFt5
2_05337	CFt5
2_05332	CFt5
2_01008	CFt5
2_15573	CFt5
2_01009	CFt5
2_19215	CFt5
2_29252	CFt5
2_54686	CFt5
2_26483	CFt5
2_13394	CFt5
2_26808	CFt5
2_32059	CFt5
2_05130	CFt5
2_13199	CFt5
2_25673	CFt5
2_28097	CFt5
2_33110	CFt5
2_41783	CFt5
2_13087	CFt5
2_33109	CFt5
2_04732	CFt5
2_37944	CFt5
2_09311	CFt5
2_23875	CFt5
2_51813	CFt9
2_26619	CFt9
2_28523	CFt9
2_35859	CFt9
2_06531	CFt9
2_35542	CFt9
2_08234	CFt9
2_19852	CFt9
2_21514	CFt9
2_21515	CFt9
2_21775	CFt9
2_24675	CFt9
2_25846	CFt9
2_27733	CFt9
2_49172	CFt9
2_37217	CFt9
2_46076	CFt9
2_34524	CFt9
2_23358	CFt9
2_29621	CFt9
2_51462	CFt9
2_35182	CFt9
2_54759	CFt9
2_55405	CFt9
2_17990	CFt9
2_27357	CFt9
2_45416	CFt9
2_54898	CFt9
2_36230	CFt9
2_09948	CFt9
2_12230	CFt9
2_09949	CFt9
2_12231	CFt9
2_32779	CFt9
2_53840	CFt9
2_05891	CFt9
2_19533	CFt9
2_23813	CFt9
2_33372	CFt9
2_46801	CFt9
2_54362	CFt9
2_05890	CFt9
2_33605	CFt9
2_51751	CFt9
2_01303	CFt9
2_14598	CFt9
2_27439	CFt9
2_34003	CFt9
2_11646	CFt9
2_11647	CFt9
2_11879	CFt9
